gene_symbol	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
CERS3	cerebral-cortex	glial-cells	Low	Approved
PRKCA	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA5	cerebral-cortex	glial-cells	Low	Approved
MIA3	cerebral-cortex	glial-cells	Medium	Supported
TNIK	cerebral-cortex	glial-cells	Medium	Approved
FAM167A	cerebral-cortex	glial-cells	Low	Approved
TRIM11	cerebral-cortex	glial-cells	Low	Approved
ENAH	cerebral-cortex	glial-cells	Medium	Enhanced
CCSAP	cerebral-cortex	glial-cells	High	Enhanced
SH3RF1	cerebral-cortex	glial-cells	Medium	Approved
BUB3	cerebral-cortex	glial-cells	Medium	Supported
GPR26	cerebral-cortex	glial-cells	Medium	Enhanced
FAM69A	cerebral-cortex	glial-cells	Low	Approved
CXADR	cerebral-cortex	glial-cells	Low	Enhanced
BTG3	cerebral-cortex	glial-cells	Low	Approved
C21orf91	cerebral-cortex	glial-cells	Low	Approved
L3MBTL4	cerebral-cortex	glial-cells	Low	Approved
ATP5PF	cerebral-cortex	glial-cells	High	Supported
GABPA	cerebral-cortex	glial-cells	Low	Supported
TSEN2	cerebral-cortex	glial-cells	Low	Approved
XPC	cerebral-cortex	glial-cells	Medium	Supported
CCDC174	cerebral-cortex	glial-cells	Low	Approved
FLCN	cerebral-cortex	glial-cells	Low	Supported
PLCL2	cerebral-cortex	glial-cells	Medium	Enhanced
CXXC1	cerebral-cortex	glial-cells	Medium	Supported
SKA1	cerebral-cortex	glial-cells	Medium	Approved
EME1	cerebral-cortex	glial-cells	High	Supported
APOOL	cerebral-cortex	glial-cells	Medium	Approved
AK9	cerebral-cortex	glial-cells	High	Enhanced
AZIN1	cerebral-cortex	glial-cells	Low	Approved
PIP4P2	cerebral-cortex	glial-cells	High	Approved
OTUD6B	cerebral-cortex	glial-cells	Low	Approved
CDK19	cerebral-cortex	glial-cells	Medium	Approved
GTF3C6	cerebral-cortex	glial-cells	Medium	Approved
MMS19	cerebral-cortex	glial-cells	Low	Approved
ZFYVE27	cerebral-cortex	glial-cells	Medium	Approved
HSPA13	cerebral-cortex	glial-cells	Medium	Approved
SAMSN1	cerebral-cortex	glial-cells	Low	Approved
USP25	cerebral-cortex	glial-cells	Low	Approved
DBI	cerebral-cortex	glial-cells	Medium	Approved
SLC7A7	cerebral-cortex	glial-cells	Low	Enhanced
LARP1	cerebral-cortex	glial-cells	Medium	Approved
CNOT8	cerebral-cortex	glial-cells	High	Approved
RBM45	cerebral-cortex	glial-cells	High	Approved
PDIA4	cerebral-cortex	glial-cells	Medium	Supported
FZD7	cerebral-cortex	glial-cells	Medium	Approved
RNF20	cerebral-cortex	glial-cells	Medium	Supported
RMND1	cerebral-cortex	glial-cells	Medium	Approved
VBP1	cerebral-cortex	glial-cells	Low	Approved
VPS37A	cerebral-cortex	glial-cells	Low	Supported
MCU	cerebral-cortex	glial-cells	Medium	Approved
ELMSAN1	cerebral-cortex	glial-cells	Medium	Approved
FAM161B	cerebral-cortex	glial-cells	Medium	Approved
GPR61	cerebral-cortex	glial-cells	Medium	Approved
NDUFAF6	cerebral-cortex	glial-cells	Low	Approved
DRAM2	cerebral-cortex	glial-cells	Low	Supported
CFAP161	cerebral-cortex	glial-cells	Low	Supported
WHAMM	cerebral-cortex	glial-cells	Low	Supported
USP16	cerebral-cortex	glial-cells	Low	Supported
CCT8	cerebral-cortex	glial-cells	Low	Enhanced
TIAM1	cerebral-cortex	glial-cells	Low	Enhanced
SCAF4	cerebral-cortex	glial-cells	Medium	Enhanced
RPGR	cerebral-cortex	glial-cells	Low	Approved
CDK20	cerebral-cortex	glial-cells	Low	Enhanced
ATP5MPL	cerebral-cortex	glial-cells	High	Approved
UQCRB	cerebral-cortex	glial-cells	High	Approved
PPP2R2B	cerebral-cortex	glial-cells	Low	Approved
FAM122B	cerebral-cortex	glial-cells	Medium	Enhanced
EEF1A1	cerebral-cortex	glial-cells	Medium	Supported
HK1	cerebral-cortex	glial-cells	Low	Supported
TYSND1	cerebral-cortex	glial-cells	Low	Approved
PHF6	cerebral-cortex	glial-cells	Medium	Enhanced
ZDHHC5	cerebral-cortex	glial-cells	Low	Approved
ZFAND3	cerebral-cortex	glial-cells	Low	Approved
KAT6B	cerebral-cortex	glial-cells	High	Supported
RAB11FIP1	cerebral-cortex	glial-cells	Low	Enhanced
MAPK13	cerebral-cortex	glial-cells	Low	Enhanced
BAG4	cerebral-cortex	glial-cells	Medium	Approved
WDYHV1	cerebral-cortex	glial-cells	Low	Approved
NSMCE2	cerebral-cortex	glial-cells	High	Supported
FRRS1	cerebral-cortex	glial-cells	Low	Approved
MALSU1	cerebral-cortex	glial-cells	Low	Approved
BRPF1	cerebral-cortex	glial-cells	Low	Enhanced
TATDN2	cerebral-cortex	glial-cells	Low	Approved
EXOG	cerebral-cortex	glial-cells	Medium	Enhanced
ATP2B2	cerebral-cortex	glial-cells	Medium	Enhanced
FCHO2	cerebral-cortex	glial-cells	Medium	Enhanced
PAXIP1	cerebral-cortex	glial-cells	Medium	Enhanced
CLDN12	cerebral-cortex	glial-cells	Low	Approved
FZD1	cerebral-cortex	glial-cells	Low	Approved
DDX19B	cerebral-cortex	glial-cells	Low	Approved
ST3GAL2	cerebral-cortex	glial-cells	Medium	Approved
FUK	cerebral-cortex	glial-cells	Low	Approved
DHRS1	cerebral-cortex	glial-cells	Low	Approved
AASDH	cerebral-cortex	glial-cells	Low	Approved
RNF111	cerebral-cortex	glial-cells	Low	Enhanced
MYO1E	cerebral-cortex	glial-cells	Low	Approved
TSC22D3	cerebral-cortex	glial-cells	Low	Approved
MX1	cerebral-cortex	glial-cells	High	Approved
TAB3	cerebral-cortex	glial-cells	Low	Approved
SLC38A10	cerebral-cortex	glial-cells	Low	Enhanced
BRAF	cerebral-cortex	glial-cells	Low	Approved
WDR19	cerebral-cortex	glial-cells	Low	Approved
FMNL2	cerebral-cortex	glial-cells	Low	Enhanced
DPYSL5	cerebral-cortex	glial-cells	Medium	Enhanced
RAB28	cerebral-cortex	glial-cells	Medium	Approved
FAM213B	cerebral-cortex	glial-cells	High	Approved
PEX10	cerebral-cortex	glial-cells	High	Approved
RER1	cerebral-cortex	glial-cells	Medium	Supported
SKI	cerebral-cortex	glial-cells	Medium	Approved
EXTL1	cerebral-cortex	glial-cells	Low	Approved
BABAM2	cerebral-cortex	glial-cells	Low	Approved
WDR66	cerebral-cortex	glial-cells	Low	Supported
GRHL3	cerebral-cortex	glial-cells	Low	Enhanced
RHPN1	cerebral-cortex	glial-cells	Low	Approved
AAED1	cerebral-cortex	glial-cells	Medium	Approved
CNNM4	cerebral-cortex	glial-cells	Medium	Enhanced
DZIP1L	cerebral-cortex	glial-cells	Medium	Approved
FANCC	cerebral-cortex	glial-cells	Medium	Approved
MRAS	cerebral-cortex	glial-cells	Medium	Approved
WASF2	cerebral-cortex	glial-cells	Medium	Enhanced
ABHD3	cerebral-cortex	glial-cells	Low	Approved
ESYT3	cerebral-cortex	glial-cells	Low	Approved
CUL4B	cerebral-cortex	glial-cells	Low	Enhanced
GPR153	cerebral-cortex	glial-cells	Low	Approved
GPRASP2	cerebral-cortex	glial-cells	Medium	Enhanced
HIST1H2BD	cerebral-cortex	glial-cells	High	Supported
CDC25C	cerebral-cortex	glial-cells	Medium	Approved
HIST1H4H	cerebral-cortex	glial-cells	High	Supported
MITD1	cerebral-cortex	glial-cells	Medium	Approved
EIF5B	cerebral-cortex	glial-cells	Low	Approved
TSPAN33	cerebral-cortex	glial-cells	Low	Enhanced
PPP1R9A	cerebral-cortex	glial-cells	Low	Approved
ZC3H18	cerebral-cortex	glial-cells	High	Enhanced
TMED4	cerebral-cortex	glial-cells	Low	Approved
EMSY	cerebral-cortex	glial-cells	High	Supported
GPAT4	cerebral-cortex	glial-cells	Medium	Approved
USF1	cerebral-cortex	glial-cells	Medium	Supported
NIT1	cerebral-cortex	glial-cells	Low	Approved
NPM2	cerebral-cortex	glial-cells	Medium	Enhanced
B4GALT3	cerebral-cortex	glial-cells	Low	Approved
FAM160B2	cerebral-cortex	glial-cells	Medium	Approved
FCER1G	cerebral-cortex	glial-cells	Medium	Supported
CCAR2	cerebral-cortex	glial-cells	Low	Enhanced
CDC42SE2	cerebral-cortex	glial-cells	Low	Enhanced
RAPGEF6	cerebral-cortex	glial-cells	Low	Approved
ALG8	cerebral-cortex	glial-cells	Low	Approved
PAXBP1	cerebral-cortex	glial-cells	Medium	Approved
GART	cerebral-cortex	glial-cells	Low	Approved
SON	cerebral-cortex	glial-cells	High	Supported
C1QC	cerebral-cortex	glial-cells	Low	Supported
UBE2Z	cerebral-cortex	glial-cells	Medium	Approved
CBR1	cerebral-cortex	glial-cells	High	Enhanced
MORC3	cerebral-cortex	glial-cells	Medium	Approved
SIM2	cerebral-cortex	glial-cells	High	Approved
HLCS	cerebral-cortex	glial-cells	Low	Approved
PTMS	cerebral-cortex	glial-cells	Low	Approved
CYB5R1	cerebral-cortex	glial-cells	Medium	Enhanced
PSMD4	cerebral-cortex	glial-cells	Low	Enhanced
HK2	cerebral-cortex	glial-cells	Low	Enhanced
ALDH4A1	cerebral-cortex	glial-cells	Medium	Enhanced
UBR1	cerebral-cortex	glial-cells	Low	Approved
AMFR	cerebral-cortex	glial-cells	Medium	Approved
MED8	cerebral-cortex	glial-cells	Medium	Approved
GPBP1L1	cerebral-cortex	glial-cells	Medium	Approved
NAE1	cerebral-cortex	glial-cells	Medium	Enhanced
EFCAB14	cerebral-cortex	glial-cells	Low	Approved
CTBP1	cerebral-cortex	glial-cells	Medium	Approved
TPPP3	cerebral-cortex	glial-cells	Low	Enhanced
CARMIL2	cerebral-cortex	glial-cells	Low	Approved
PSKH1	cerebral-cortex	glial-cells	Medium	Approved
ABR	cerebral-cortex	glial-cells	Low	Enhanced
LYPD5	cerebral-cortex	glial-cells	Medium	Approved
ARHGAP35	cerebral-cortex	glial-cells	Low	Approved
DFFA	cerebral-cortex	glial-cells	Low	Supported
ZBTB8A	cerebral-cortex	glial-cells	Low	Approved
ATAD3B	cerebral-cortex	glial-cells	Low	Approved
NDUFV3	cerebral-cortex	glial-cells	Low	Enhanced
CBS	cerebral-cortex	glial-cells	Medium	Supported
U2AF1	cerebral-cortex	glial-cells	Medium	Supported
RRP1B	cerebral-cortex	glial-cells	Medium	Supported
PDXK	cerebral-cortex	glial-cells	High	Enhanced
C21orf33	cerebral-cortex	glial-cells	Medium	Supported
C21orf2	cerebral-cortex	glial-cells	Medium	Supported
ITGB2	cerebral-cortex	glial-cells	Low	Enhanced
FAM207A	cerebral-cortex	glial-cells	Medium	Approved
RALGDS	cerebral-cortex	glial-cells	Medium	Approved
LSS	cerebral-cortex	glial-cells	Low	Supported
MCM3AP	cerebral-cortex	glial-cells	Low	Approved
S100B	cerebral-cortex	glial-cells	High	Enhanced
GPSM1	cerebral-cortex	glial-cells	Low	Approved
C19orf47	cerebral-cortex	glial-cells	Low	Enhanced
TAOK1	cerebral-cortex	glial-cells	Medium	Approved
MED27	cerebral-cortex	glial-cells	Medium	Approved
SIK3	cerebral-cortex	glial-cells	High	Enhanced
NEK8	cerebral-cortex	glial-cells	Medium	Approved
TLCD1	cerebral-cortex	glial-cells	Low	Enhanced
SAFB	cerebral-cortex	glial-cells	High	Supported
S100A1	cerebral-cortex	glial-cells	Medium	Enhanced
CHTOP	cerebral-cortex	glial-cells	High	Approved
FLAD1	cerebral-cortex	glial-cells	Low	Approved
VPS11	cerebral-cortex	glial-cells	Low	Approved
ADAR	cerebral-cortex	glial-cells	Medium	Enhanced
CRTC2	cerebral-cortex	glial-cells	Medium	Supported
RUSC1	cerebral-cortex	glial-cells	Medium	Approved
LMNA	cerebral-cortex	glial-cells	High	Supported
CCDC12	cerebral-cortex	glial-cells	Medium	Approved
UBQLN4	cerebral-cortex	glial-cells	Medium	Approved
PPP1R35	cerebral-cortex	glial-cells	Low	Approved
GPATCH4	cerebral-cortex	glial-cells	Medium	Approved
NACC1	cerebral-cortex	glial-cells	High	Enhanced
VPS28	cerebral-cortex	glial-cells	Medium	Supported
RECQL4	cerebral-cortex	glial-cells	Low	Supported
ALKBH4	cerebral-cortex	glial-cells	Low	Approved
RPL8	cerebral-cortex	glial-cells	Low	Enhanced
MAML1	cerebral-cortex	glial-cells	Medium	Approved
PSMC2	cerebral-cortex	glial-cells	Low	Supported
DVL3	cerebral-cortex	glial-cells	Medium	Approved
ABCF3	cerebral-cortex	glial-cells	High	Approved
PCYT1A	cerebral-cortex	glial-cells	Low	Approved
U2AF1L4	cerebral-cortex	glial-cells	Medium	Supported
BDH1	cerebral-cortex	glial-cells	Low	Enhanced
THAP8	cerebral-cortex	glial-cells	Low	Approved
ZNF382	cerebral-cortex	glial-cells	Medium	Approved
PGAP3	cerebral-cortex	glial-cells	Low	Approved
SAP30BP	cerebral-cortex	glial-cells	High	Supported
ACOX1	cerebral-cortex	glial-cells	Low	Approved
SRSF2	cerebral-cortex	glial-cells	High	Supported
CCDC155	cerebral-cortex	glial-cells	Low	Enhanced
ALDH16A1	cerebral-cortex	glial-cells	Low	Approved
LSM12	cerebral-cortex	glial-cells	Low	Approved
LARP4	cerebral-cortex	glial-cells	Medium	Approved
LEMD2	cerebral-cortex	glial-cells	Medium	Supported
RPL26	cerebral-cortex	glial-cells	Low	Supported
POLR3K	cerebral-cortex	glial-cells	Medium	Approved
WDR90	cerebral-cortex	glial-cells	Low	Approved
BICDL2	cerebral-cortex	glial-cells	Medium	Approved
ADCY9	cerebral-cortex	glial-cells	Medium	Approved
ASRGL1	cerebral-cortex	glial-cells	Low	Enhanced
TTC9C	cerebral-cortex	glial-cells	Low	Approved
TAF6L	cerebral-cortex	glial-cells	Low	Approved
NXF1	cerebral-cortex	glial-cells	High	Supported
RPL29	cerebral-cortex	glial-cells	High	Approved
SYVN1	cerebral-cortex	glial-cells	High	Enhanced
ZFPL1	cerebral-cortex	glial-cells	Medium	Enhanced
RPS6KA4	cerebral-cortex	glial-cells	Medium	Approved
FGF19	cerebral-cortex	glial-cells	Low	Approved
ELAVL4	cerebral-cortex	glial-cells	Medium	Enhanced
MAGOH	cerebral-cortex	glial-cells	High	Approved
GMEB1	cerebral-cortex	glial-cells	Medium	Supported
AK4	cerebral-cortex	glial-cells	Medium	Enhanced
JAK1	cerebral-cortex	glial-cells	Low	Approved
RAVER2	cerebral-cortex	glial-cells	Medium	Approved
DHRS3	cerebral-cortex	glial-cells	Medium	Supported
LAPTM5	cerebral-cortex	glial-cells	Low	Approved
SDC3	cerebral-cortex	glial-cells	Medium	Approved
RBBP4	cerebral-cortex	glial-cells	High	Supported
KIAA1522	cerebral-cortex	glial-cells	Low	Approved
DIRAS3	cerebral-cortex	glial-cells	Low	Approved
NFIA	cerebral-cortex	glial-cells	High	Enhanced
USP1	cerebral-cortex	glial-cells	Low	Approved
FUBP1	cerebral-cortex	glial-cells	High	Supported
DNAJB4	cerebral-cortex	glial-cells	Low	Approved
TYW3	cerebral-cortex	glial-cells	Medium	Approved
C1orf52	cerebral-cortex	glial-cells	Low	Approved
ZNF326	cerebral-cortex	glial-cells	Medium	Supported
AGL	cerebral-cortex	glial-cells	High	Approved
EXTL2	cerebral-cortex	glial-cells	Low	Approved
PEA15	cerebral-cortex	glial-cells	Low	Enhanced
PEX19	cerebral-cortex	glial-cells	Medium	Supported
NCSTN	cerebral-cortex	glial-cells	Low	Approved
RBM15	cerebral-cortex	glial-cells	Low	Supported
BPNT1	cerebral-cortex	glial-cells	Low	Approved
KIF26B	cerebral-cortex	glial-cells	Low	Enhanced
CNST	cerebral-cortex	glial-cells	Low	Approved
PPP1R21	cerebral-cortex	glial-cells	Medium	Approved
MRPL55	cerebral-cortex	glial-cells	Medium	Supported
PEX13	cerebral-cortex	glial-cells	Medium	Enhanced
KIAA1841	cerebral-cortex	glial-cells	Medium	Approved
RFTN2	cerebral-cortex	glial-cells	Low	Approved
DPY30	cerebral-cortex	glial-cells	Low	Supported
MAIP1	cerebral-cortex	glial-cells	Medium	Approved
ARL5A	cerebral-cortex	glial-cells	Low	Approved
NEUROD1	cerebral-cortex	glial-cells	Medium	Approved
CFAP36	cerebral-cortex	glial-cells	Low	Approved
NUP35	cerebral-cortex	glial-cells	Medium	Enhanced
WDCP	cerebral-cortex	glial-cells	Medium	Approved
H3F3A	cerebral-cortex	glial-cells	High	Supported
NOSTRIN	cerebral-cortex	glial-cells	Medium	Approved
SMARCAD1	cerebral-cortex	glial-cells	High	Approved
CTSS	cerebral-cortex	glial-cells	Low	Supported
ERCC3	cerebral-cortex	glial-cells	Low	Approved
IWS1	cerebral-cortex	glial-cells	Low	Supported
CDC42EP3	cerebral-cortex	glial-cells	Medium	Approved
S100A11	cerebral-cortex	glial-cells	Low	Enhanced
TGFA	cerebral-cortex	glial-cells	Medium	Approved
GABRG1	cerebral-cortex	glial-cells	Low	Approved
HELQ	cerebral-cortex	glial-cells	Medium	Approved
CGGBP1	cerebral-cortex	glial-cells	Medium	Supported
GPR155	cerebral-cortex	glial-cells	Low	Approved
PMVK	cerebral-cortex	glial-cells	Medium	Approved
PBXIP1	cerebral-cortex	glial-cells	Medium	Approved
PYGO2	cerebral-cortex	glial-cells	Low	Supported
EOGT	cerebral-cortex	glial-cells	Low	Approved
TMEM169	cerebral-cortex	glial-cells	Medium	Enhanced
ARPC2	cerebral-cortex	glial-cells	Medium	Approved
CCT3	cerebral-cortex	glial-cells	High	Approved
STK36	cerebral-cortex	glial-cells	Low	Approved
CIP2A	cerebral-cortex	glial-cells	Medium	Approved
CWC22	cerebral-cortex	glial-cells	High	Approved
AZI2	cerebral-cortex	glial-cells	Low	Approved
STT3B	cerebral-cortex	glial-cells	Low	Approved
SUCLG1	cerebral-cortex	glial-cells	Low	Enhanced
PYHIN1	cerebral-cortex	glial-cells	Low	Enhanced
IFI16	cerebral-cortex	glial-cells	Low	Enhanced
EIF5A2	cerebral-cortex	glial-cells	High	Approved
PPP4R2	cerebral-cortex	glial-cells	Medium	Approved
CCDC191	cerebral-cortex	glial-cells	Low	Approved
WDFY3	cerebral-cortex	glial-cells	Low	Approved
COX18	cerebral-cortex	glial-cells	Medium	Approved
THOC7	cerebral-cortex	glial-cells	Medium	Approved
PPM1K	cerebral-cortex	glial-cells	Low	Approved
HESX1	cerebral-cortex	glial-cells	Medium	Approved
SLMAP	cerebral-cortex	glial-cells	Low	Enhanced
APBB2	cerebral-cortex	glial-cells	Medium	Approved
IL17RC	cerebral-cortex	glial-cells	Low	Approved
PRRT3	cerebral-cortex	glial-cells	Medium	Approved
U2SURP	cerebral-cortex	glial-cells	Medium	Enhanced
CXCL5	cerebral-cortex	glial-cells	Medium	Approved
HPS3	cerebral-cortex	glial-cells	Low	Approved
TOPBP1	cerebral-cortex	glial-cells	High	Approved
UCN	cerebral-cortex	glial-cells	Low	Approved
SLC4A1AP	cerebral-cortex	glial-cells	Low	Approved
KIF15	cerebral-cortex	glial-cells	Low	Approved
ZNF148	cerebral-cortex	glial-cells	Low	Supported
SMIM12	cerebral-cortex	glial-cells	Medium	Approved
ZMYM6	cerebral-cortex	glial-cells	Medium	Approved
SNIP1	cerebral-cortex	glial-cells	Medium	Approved
RPN1	cerebral-cortex	glial-cells	Low	Enhanced
SENP2	cerebral-cortex	glial-cells	Medium	Approved
HEYL	cerebral-cortex	glial-cells	High	Approved
RFC4	cerebral-cortex	glial-cells	Low	Enhanced
BAP1	cerebral-cortex	glial-cells	Low	Approved
TKT	cerebral-cortex	glial-cells	Medium	Enhanced
PRKCD	cerebral-cortex	glial-cells	Medium	Enhanced
RFT1	cerebral-cortex	glial-cells	Medium	Approved
GNL3	cerebral-cortex	glial-cells	Low	Enhanced
SLBP	cerebral-cortex	glial-cells	Low	Supported
LRPAP1	cerebral-cortex	glial-cells	High	Enhanced
UBXN7	cerebral-cortex	glial-cells	Low	Supported
MELTF	cerebral-cortex	glial-cells	Low	Approved
S100P	cerebral-cortex	glial-cells	Low	Enhanced
AIMP1	cerebral-cortex	glial-cells	Medium	Supported
SGMS2	cerebral-cortex	glial-cells	Low	Supported
METAP1	cerebral-cortex	glial-cells	Low	Approved
DNAJB14	cerebral-cortex	glial-cells	Low	Approved
H2AFZ	cerebral-cortex	glial-cells	High	Supported
BDH2	cerebral-cortex	glial-cells	Medium	Enhanced
PLXNB1	cerebral-cortex	glial-cells	Medium	Enhanced
CCDC51	cerebral-cortex	glial-cells	Low	Supported
ATRIP	cerebral-cortex	glial-cells	High	Approved
SHISA5	cerebral-cortex	glial-cells	Low	Approved
RNF123	cerebral-cortex	glial-cells	Low	Approved
MFSD8	cerebral-cortex	glial-cells	Medium	Approved
ABHD18	cerebral-cortex	glial-cells	Low	Approved
CAMKV	cerebral-cortex	glial-cells	Low	Enhanced
MST1R	cerebral-cortex	glial-cells	Low	Enhanced
POC1A	cerebral-cortex	glial-cells	Medium	Approved
ETNPPL	cerebral-cortex	glial-cells	High	Approved
C4orf3	cerebral-cortex	glial-cells	Medium	Approved
HMGB2	cerebral-cortex	glial-cells	Low	Enhanced
HAND2	cerebral-cortex	glial-cells	Medium	Approved
ANXA5	cerebral-cortex	glial-cells	Low	Approved
CEP44	cerebral-cortex	glial-cells	Low	Approved
NAA15	cerebral-cortex	glial-cells	Low	Approved
IL15	cerebral-cortex	glial-cells	Low	Approved
ABCE1	cerebral-cortex	glial-cells	Medium	Approved
LSM6	cerebral-cortex	glial-cells	Medium	Approved
MOCS2	cerebral-cortex	glial-cells	Medium	Approved
EDIL3	cerebral-cortex	glial-cells	High	Approved
LMBRD2	cerebral-cortex	glial-cells	Medium	Approved
RANBP3L	cerebral-cortex	glial-cells	Medium	Approved
STARD4	cerebral-cortex	glial-cells	Low	Approved
PRRC1	cerebral-cortex	glial-cells	Low	Supported
F2RL1	cerebral-cortex	glial-cells	Low	Approved
WDR41	cerebral-cortex	glial-cells	Medium	Approved
ARSK	cerebral-cortex	glial-cells	Medium	Approved
ENPP6	cerebral-cortex	glial-cells	Low	Approved
ERAP1	cerebral-cortex	glial-cells	Medium	Approved
ERAP2	cerebral-cortex	glial-cells	Low	Enhanced
RICTOR	cerebral-cortex	glial-cells	Low	Approved
ANKRA2	cerebral-cortex	glial-cells	Low	Approved
UBLCP1	cerebral-cortex	glial-cells	Medium	Approved
NSA2	cerebral-cortex	glial-cells	Low	Approved
CCDC127	cerebral-cortex	glial-cells	Low	Approved
ACSL6	cerebral-cortex	glial-cells	Medium	Enhanced
UQCRQ	cerebral-cortex	glial-cells	Medium	Approved
GRIK2	cerebral-cortex	glial-cells	Low	Approved
FABP7	cerebral-cortex	glial-cells	Medium	Enhanced
CITED2	cerebral-cortex	glial-cells	Medium	Supported
DACT2	cerebral-cortex	glial-cells	Low	Approved
HIST1H2AA	cerebral-cortex	glial-cells	High	Supported
SAP30L	cerebral-cortex	glial-cells	High	Approved
RPS14	cerebral-cortex	glial-cells	Low	Approved
HCN1	cerebral-cortex	glial-cells	Low	Enhanced
NEUROD6	cerebral-cortex	glial-cells	Medium	Enhanced
CAMLG	cerebral-cortex	glial-cells	Low	Approved
COL1A2	cerebral-cortex	glial-cells	Medium	Approved
FNDC1	cerebral-cortex	glial-cells	Low	Approved
CHMP4C	cerebral-cortex	glial-cells	Low	Enhanced
C8orf48	cerebral-cortex	glial-cells	Medium	Enhanced
PEX2	cerebral-cortex	glial-cells	Medium	Approved
RAD21	cerebral-cortex	glial-cells	High	Supported
SPIDR	cerebral-cortex	glial-cells	High	Approved
ORC5	cerebral-cortex	glial-cells	Medium	Approved
OSGIN2	cerebral-cortex	glial-cells	Medium	Approved
SUN1	cerebral-cortex	glial-cells	Medium	Enhanced
OXR1	cerebral-cortex	glial-cells	Low	Enhanced
GPER1	cerebral-cortex	glial-cells	Low	Approved
INTS1	cerebral-cortex	glial-cells	Low	Approved
CDK5	cerebral-cortex	glial-cells	Medium	Enhanced
SLC4A2	cerebral-cortex	glial-cells	Medium	Enhanced
FASTK	cerebral-cortex	glial-cells	Low	Approved
TMUB1	cerebral-cortex	glial-cells	Low	Approved
FMC1	cerebral-cortex	glial-cells	Low	Approved
PHAX	cerebral-cortex	glial-cells	Medium	Supported
ALDH7A1	cerebral-cortex	glial-cells	Medium	Enhanced
FOXK1	cerebral-cortex	glial-cells	High	Enhanced
COX6C	cerebral-cortex	glial-cells	Low	Enhanced
YWHAZ	cerebral-cortex	glial-cells	High	Approved
BAALC	cerebral-cortex	glial-cells	Low	Approved
FZD6	cerebral-cortex	glial-cells	Low	Approved
INTS8	cerebral-cortex	glial-cells	Medium	Approved
VIRMA	cerebral-cortex	glial-cells	Medium	Approved
GEM	cerebral-cortex	glial-cells	Low	Approved
